interval_from,interval_to,LST_B0_min,LST_B0_max,LST_B0_mean,LST_B0_stDev,LST_B0_sampleCount,LST_B0_noDataCount,poly_id,landcover,elv
2024-10-20,2024-10-21,293.79998779296875,293.79998779296875,293.79998779296875,0.0,65536,422,2,10.0,56.3132438659668
2024-10-21,2024-10-22,294.05999755859375,294.05999755859375,294.05999755859375,0.0,65536,422,2,10.0,56.3132438659668
2024-10-23,2024-10-24,293.010009765625,293.010009765625,293.010009765625,0.0,65536,422,2,10.0,56.3132438659668
2024-10-25,2024-10-26,296.3500061035156,296.3500061035156,296.3500061035156,0.0,65536,422,2,10.0,56.3132438659668
2024-10-27,2024-10-28,295.3299865722656,295.3299865722656,295.3299865722656,0.0,65536,422,2,10.0,56.3132438659668
2024-10-28,2024-10-29,295.0199890136719,295.0199890136719,295.0199890136719,0.0,65536,422,2,10.0,56.3132438659668
2020-01-02,2020-01-03,288.1400146484375,288.1400146484375,288.1400146484375,0.0,65536,440,34,30.0,886.4879150390625
2020-01-03,2020-01-04,288.6700134277344,288.6700134277344,288.6700134277344,0.0,65536,440,34,30.0,886.4879150390625
2020-01-05,2020-01-06,286.760009765625,286.760009765625,286.760009765625,0.0,65536,440,34,30.0,886.4879150390625
2020-01-07,2020-01-08,284.6099853515625,284.6099853515625,284.6099853515625,0.0,65536,440,34,30.0,886.4879150390625
2020-01-09,2020-01-10,288.67999267578125,288.67999267578125,288.67999267578125,0.0,65536,440,34,30.0,886.4879150390625
2020-01-10,2020-01-11,287.9100036621094,287.9100036621094,287.9100036621094,0.0,65536,440,34,30.0,886.4879150390625
2020-01-11,2020-01-12,288.95001220703125,288.95001220703125,288.95001220703125,0.0,65536,440,34,30.0,886.4879150390625
2020-01-12,2020-01-13,288.8999938964844,288.8999938964844,288.8999938964844,0.0,65536,440,34,30.0,886.4879150390625
2020-01-14,2020-01-15,286.25,286.25,286.25,0.0,65536,440,34,30.0,886.4879150390625
2020-01-16,2020-01-17,286.3900146484375,286.3900146484375,286.3900146484375,0.0,65536,440,34,30.0,886.4879150390625
2020-01-18,2020-01-19,289.95001220703125,289.95001220703125,289.95001220703125,0.0,65536,440,34,30.0,886.4879150390625
2020-01-19,2020-01-20,291.1700134277344,291.1700134277344,291.1700134277344,0.0,65536,440,34,30.0,886.4879150390625
2020-01-21,2020-01-22,288.80999755859375,288.80999755859375,288.80999755859375,0.0,65536,440,34,30.0,886.4879150390625
2020-01-23,2020-01-24,288.0,288.0,288.0,0.0,65536,440,34,30.0,886.4879150390625
2020-01-25,2020-01-26,287.739990234375,287.739990234375,287.739990234375,0.0,65536,440,34,30.0,886.4879150390625
2020-01-26,2020-01-27,290.9599914550781,290.9599914550781,290.9599914550781,0.0,65536,440,34,30.0,886.4879150390625
2020-01-27,2020-01-28,288.1600036621094,288.1600036621094,288.1600036621094,0.0,65536,440,34,30.0,886.4879150390625
2020-01-28,2020-01-29,287.6499938964844,287.6499938964844,287.6499938964844,0.0,65536,440,34,30.0,886.4879150390625
